,X1,X2,X3,X4,X5,X6,classe
130,84,40,16,72,99,48,2
131,83,46,20,72,101,50,2
132,86,45,19,71,104,47,2
133,83,44,22,69,104,52,2
134,87,46,22,68,102,51,2
135,81,42,12,76,98,50,2
136,89,46,20,71,102,51,2
137,90,44,12,73,103,52,2
138,90,40,18,71,96,50,2
139,80,41,16,74,97,51,2
140,88,41,14,78,96,44,2
141,89,42,19,70,101,49,2
142,88,39,19,68,103,52,2
143,86,43,13,74,104,48,2
144,85,46,21,71,104,49,2
145,83,46,15,76,95,46,2
146,80,39,19,75,95,51,2
147,86,41,16,77,102,52,2
148,84,41,12,76,102,44,2
149,86,45,16,74,103,54,2
150,87,45,12,78,95,47,2
151,81,36,15,68,97,44,2
152,82,41,18,73,97,54,2
153,82,41,12,75,95,47,2
154,90,37,22,77,97,51,2
155,84,39,22,77,99,44,2
156,86,46,13,75,100,45,2
157,81,42,18,78,97,51,2
158,85,45,16,76,100,50,2
159,85,38,21,70,103,54,2
160,87,44,14,78,104,45,2
161,89,37,15,72,103,46,2
162,83,42,19,71,101,49,2
163,88,39,17,70,96,53,2
164,82,39,12,76,100,50,2
165,86,39,22,70,101,53,2
166,89,39,19,69,98,49,2
167,80,46,17,72,97,45,2
168,90,40,20,71,104,51,2
169,87,39,16,72,97,47,2
170,83,42,17,78,103,51,2
171,80,40,18,68,96,53,2
172,86,43,18,74,95,47,2
173,81,43,21,76,104,46,2
174,89,36,20,68,100,51,2
175,82,36,17,68,103,48,2
176,81,38,22,78,99,53,2
177,84,44,13,72,98,46,2
178,82,44,16,78,101,47,2
179,80,42,21,78,96,50,2
180,83,40,15,68,103,45,2
181,86,40,19,69,96,48,2
182,90,45,22,72,101,49,2
183,84,40,22,78,102,44,2
184,86,45,14,70,95,48,2
185,84,39,15,71,102,48,2
186,87,42,19,71,102,52,2
187,84,40,21,71,100,50,2
188,84,42,22,69,96,49,2
189,90,45,14,72,96,51,2
190,87,45,12,73,96,54,2
191,90,42,13,72,102,46,2
192,83,39,17,75,99,51,2
193,80,36,19,78,97,45,2
194,84,42,16,75,101,45,2
195,87,45,22,68,96,44,2
196,81,38,18,73,102,47,2
197,81,38,13,78,95,53,2
198,86,45,19,73,103,44,2
199,83,38,12,73,105,50,2
200,86,38,21,75,104,53,2
201,88,46,14,77,99,49,2
202,80,42,13,71,99,53,2
203,81,38,15,72,96,46,2
204,82,42,15,68,103,51,2
205,84,45,18,76,100,52,2
206,89,38,14,69,97,50,2
207,88,46,14,74,103,53,2
208,85,36,16,73,104,45,2
209,83,46,12,68,103,46,2
210,90,42,21,72,95,54,2
211,81,37,16,78,105,53,2
212,87,37,15,76,104,45,2
213,89,42,14,73,103,54,2
214,80,36,18,70,96,44,2
215,86,41,12,77,95,51,2
216,90,36,22,73,96,50,2
217,80,45,14,74,105,44,2
218,83,40,12,71,104,47,2
219,90,42,16,69,101,54,2
220,90,40,20,68,95,47,2
221,83,46,17,68,97,44,2
222,89,45,16,74,104,51,2
223,85,41,16,73,99,44,2
224,86,46,22,68,98,52,2
225,85,45,21,68,103,50,2
226,87,41,18,77,100,54,2
227,89,42,19,78,97,49,2
228,89,42,22,71,100,47,2
229,87,40,17,70,95,49,2
230,86,46,21,71,105,50,2
231,90,40,20,70,103,44,2
232,84,39,14,75,105,47,2
233,86,46,12,78,98,45,2
234,88,36,19,69,98,47,2
235,84,37,20,72,100,47,2
236,81,41,21,73,101,50,2
237,82,43,22,68,101,48,2
238,86,36,13,78,104,53,2
239,90,41,13,75,99,45,2
240,84,38,17,69,99,53,2
241,89,36,15,68,97,44,2
242,85,41,14,70,97,49,2
243,87,40,19,76,98,46,2
244,83,39,17,76,95,53,2
245,81,43,15,76,96,51,2
246,86,40,16,70,97,44,2
247,84,46,17,71,96,53,2
248,81,43,22,77,102,44,2
249,85,43,18,72,98,52,2
250,82,36,16,74,103,52,2
251,87,39,16,72,105,52,2
252,86,43,12,74,105,53,2
253,81,39,12,69,97,47,2
254,90,39,14,72,102,45,2
